                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2622,                 4.2638,                 1.9528,                0.00323,                0.33333,                0.05932,                0.03438,                 2.0825,                 4.1024,                 1.9231,                      0,                      0,                      0
                      2,                 1.6421,                 3.7595,                 1.5179,                0.00335,                0.33333,                0.18242,                0.10175,                 2.0827,                 4.0999,                 1.8905,             7.0693e-06,             7.0693e-06,             7.0693e-06
                      3,                 1.9751,                 4.1426,                 1.5649,                0.00329,                0.33333,                0.17965,                0.10164,                 2.0725,                 4.0948,                 1.8762,             1.3997e-05,             1.3997e-05,             1.3997e-05
                      4,                 2.0679,                 4.5206,                 1.7504,                0.00336,                0.33333,                0.17689,                0.11719,                 2.0378,                 4.0823,                  1.846,             2.0784e-05,             2.0784e-05,             2.0784e-05
                      5,                 2.2338,                 4.0502,                 2.0199,                0.00336,                0.33333,                0.17689,                0.11719,                 2.0378,                 4.0823,                  1.846,             2.7429e-05,             2.7429e-05,             2.7429e-05
                      6,                 1.9418,                 4.1646,                 1.4027,                0.67994,                0.16667,                0.17373,                0.11687,                 1.9612,                 4.0601,                 1.8013,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      7,                 2.1899,                 4.2072,                 1.9056,                0.67994,                0.16667,                0.17373,                0.11687,                 1.9612,                 4.0601,                 1.8013,             4.0295e-05,             4.0295e-05,             4.0295e-05
                      8,                 2.1353,                 4.2027,                 2.0674,                0.88506,                0.16667,                0.17274,                0.11677,                 1.8141,                 4.0281,                 1.6387,             4.6516e-05,             4.6516e-05,             4.6516e-05
                      9,                 1.5093,                 4.3629,                 1.5722,                0.88506,                0.16667,                0.17274,                0.11677,                 1.8141,                 4.0281,                 1.6387,             5.2596e-05,             5.2596e-05,             5.2596e-05
                     10,                 1.9112,                 4.2556,                 1.7255,                0.91176,                0.16667,                0.18656,                0.13474,                 1.6814,                 4.0076,                 1.5176,             5.8534e-05,             5.8534e-05,             5.8534e-05
                     11,                  2.019,                 4.3473,                 1.8261,                0.91176,                0.16667,                0.18656,                0.13474,                 1.6814,                 4.0076,                 1.5176,             6.4331e-05,             6.4331e-05,             6.4331e-05
                     12,                 1.7138,                 4.2688,                 1.3096,                0.91176,                0.16667,                0.18656,                0.13474,                 1.6814,                 4.0076,                 1.5176,             6.9987e-05,             6.9987e-05,             6.9987e-05
                     13,                   1.42,                 4.1935,                 1.3968,                0.94864,                0.16667,                0.18952,                 0.1374,                 1.5018,                 3.9518,                 1.3779,             7.5501e-05,             7.5501e-05,             7.5501e-05
