                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6848,                 4.1943,                 1.3827,                0.00713,                    0.5,                0.01372,                0.00827,                 1.6642,                 4.5264,                  1.216,                  1e-05,                  1e-05,                  1e-05
                      2,                 1.3557,                 4.0581,                 1.1625,                0.00932,                0.53571,                0.04118,                0.02551,                 1.6239,                 4.5252,                 1.1837,             2.9703e-05,             2.9703e-05,             2.9703e-05
                      3,                 1.3179,                 3.9983,                 1.1672,                0.01368,                0.60714,                0.26971,                0.16777,                 1.5085,                 4.5054,                 1.1489,              4.901e-05,              4.901e-05,              4.901e-05
                      4,                 1.3045,                 3.9728,                  1.163,                0.01782,                0.60714,                 0.5027,                0.30034,                 1.4531,                 4.4458,                 1.1216,             6.7921e-05,             6.7921e-05,             6.7921e-05
                      5,                 1.2842,                 3.7307,                 1.1117,                0.02668,                0.67857,                0.53116,                0.34765,                 1.4024,                 4.4112,                  1.089,             8.6436e-05,             8.6436e-05,             8.6436e-05
                      6,                  1.221,                 3.4261,                 1.1704,                0.03363,                0.67857,                0.55666,                0.36174,                 1.3866,                 4.3795,                 1.0917,             0.00010456,             0.00010456,             0.00010456
                      7,                 1.1987,                 3.2967,                  1.136,                0.04369,                0.67857,                0.57526,                0.37611,                 1.3227,                  4.337,                 1.0641,             0.00012228,             0.00012228,             0.00012228
                      8,                 1.2363,                 2.8445,                 1.1008,                0.06995,                0.67857,                0.46244,                 0.3199,                 1.1963,                 4.3019,                  1.005,             0.00013961,             0.00013961,             0.00013961
                      9,                 1.2822,                 2.4823,                 1.1004,                0.11059,                0.71429,                0.47791,                0.31684,                 1.1987,                 4.2207,                0.99459,             0.00015654,             0.00015654,             0.00015654
                     10,                0.96623,                 2.1596,                 1.1172,                0.13565,                0.71429,                0.48229,                0.33681,                   1.16,                 4.1319,                0.98295,             0.00017307,             0.00017307,             0.00017307
